TEAM_ABBREVIATION,player
ATL,D. Daniels
ATL,M. Gueye
ATL,O. Okongwu
ATL,T. Young
ATL,J. Johnson
ATL,Z. Risacher
ATL,D. Hunter
ATL,G. Niang
ATL,C. Capela
ATL,C. LeVert
ATL,G. Mathews
BKN,D. Sharpe
BKN,T. Evbuomwan
BKN,D. Schröder
BKN,D. Finney-Smith
BKN,C. Johnson
BKN,Z. Williams
BKN,D. Russell
BKN,J. Wilson
BKN,T. Martin
BKN,K. Johnson
BKN,T. Watford
BKN,C. Thomas
BOS,D. White
BOS,L. Kornet
BOS,A. Horford
BOS,J. Brown
BOS,J. Tatum
BOS,S. Hauser
BOS,J. Holiday
BOS,P. Pritchard
CHA,C. Martin
CHA,M. Diabate
CHA,G. Williams
CHA,M. Bridges
CHA,L. Ball
CHA,M. Williams
CHA,B. Miller
CHA,S. Curry
CHA,M. Diabaté
CHA,D. Jeffries
CHI,K. Huerter
CHI,J. Giddey
CHI,Z. Collins
CHI,L. Ball
CHI,Z. LaVine
CHI,C. White
CHI,J. Phillips
CHI,N. Vučević
CHI,M. Buzelis
CHI,P. Williams
CHI,T. Jones
CLE,I. Okoro
CLE,S. Merrill
CLE,D. Mitchell
CLE,E. Mobley
CLE,C. LeVert
CLE,D. Wade
CLE,T. Jerome
CLE,D. Garland
CLE,J. Allen
CLE,M. Strus
DAL,K. Irving
DAL,D. Lively II
DAL,S. Dinwiddie
DAL,L. Dončić
DAL,K. Thompson
DAL,P. Washington
DAL,Q. Grimes
DAL,D. Gafford
DEN,N. Jokić
DEN,C. Braun
DEN,M. Porter Jr.
DEN,A. Gordon
DEN,J. Murray
DEN,J. Pickett
DEN,Z. Nnaji
DEN,R. Westbrook
DEN,J. Strawther
DET,T. Harris
DET,S. Fontecchio
DET,M. Beasley
DET,C. Cunningham
DET,I. Stewart
DET,D. Schröder
DET,T. Hardaway Jr.
DET,A. Thompson
DET,J. Duren
DET,P. Reed
DET,R. Holland II
DET,M. Sasser
GSW,K. Looney
GSW,B. Podziemski
GSW,J. Butler III
GSW,D. Green
GSW,B. Hield
GSW,S. Curry
GSW,M. Moody
GSW,G. Santos
HOU,A. Sengun
HOU,A. Thompson
HOU,S. Adams
HOU,J. Smith Jr.
HOU,T. Eason
HOU,A. Holiday
HOU,D. Brooks
HOU,F. VanVleet
HOU,C. Whitmore
HOU,J. Green
IND,T. Haliburton
IND,A. Nesmith
IND,P. Siakam
IND,A. Nembhard
IND,M. Turner
IND,B. Mathurin
IND,O. Toppin
IND,T. Bryant
LAC,K. Leonard
LAC,D. Jones Jr.
LAC,I. Zubac
LAC,J. Harden
LAC,N. Powell
LAC,N. Batum
LAC,B. Bogdanović
LAC,K. Dunn
LAL,D. Finney-Smith
LAL,R. Hachimura
LAL,L. Dončić
LAL,A. Reaves
LAL,J. Hayes
LAL,L. James
LAL,G. Vincent
LAL,D. Russell
LAL,J. Vanderbilt
LAL,D. Knecht
MEM,S. Aldama
MEM,J. LaRavia
MEM,J. Jackson Jr.
MEM,Z. Edey
MEM,L. Kennard
MEM,B. Clarke
MEM,J. Wells
MEM,J. Morant
MEM,S. Pippen Jr.
MEM,M. Smart
MEM,D. Bane
MIA,J. Butler
MIA,D. Robinson
MIA,A. Burks
MIA,B. Adebayo
MIA,T. Herro
MIA,P. Larsson
MIA,H. Highsmith
MIA,D. Mitchell
MIA,T. Rozier
MIL,G. Antetokounmpo
MIL,A. Green
MIL,K. Porter Jr.
MIL,B. Portis
MIL,G. Trent Jr.
MIL,K. Middleton
MIL,B. Lopez
MIL,R. Rollins
MIL,D. Lillard
MIL,T. Prince
MIN,R. Gobert
MIN,N. Reid
MIN,M. Conley
MIN,N. Alexander-Walker
MIN,J. Clark
MIN,D. DiVincenzo
MIN,A. Edwards
MIN,J. McDaniels
MIN,J. Randle
MIN,R. Dillingham
NOP,C. McCollum
NOP,J. Alvarado
NOP,Z. Williamson
NOP,K. Olynyk
NOP,J. Hawkins
NOP,K. Matković
NOP,D. Murray
NOP,D. Theis
NOP,H. Jones
NOP,Y. Missi
NOP,T. Murphy III
NOP,A. Reeves
NYK,C. Payne
NYK,M. Bridges
NYK,K. Towns
NYK,J. Hart
NYK,L. Shamet
NYK,O. Anunoby
NYK,M. McBride
NYK,J. Brunson
OKC,K. Williams
OKC,J. Williams
OKC,I. Joe
OKC,S. Gilgeous-Alexander
OKC,A. Caruso
OKC,C. Holmgren
OKC,A. Wiggins
OKC,L. Dort
OKC,I. Hartenstein
ORL,G. Harris
ORL,F. Wagner
ORL,W. Carter Jr.
ORL,G. Bitadze
ORL,C. Anthony
ORL,A. Black
ORL,M. Wagner
ORL,C. Joseph
ORL,J. Isaac
ORL,K. Caldwell-Pope
ORL,J. Suggs
PHI,T. Maxey
PHI,K. Martin
PHI,P. George
PHI,K. Oubre Jr.
PHI,G. Yabusele
PHI,K. Lowry
PHI,J. McCain
PHI,J. Edwards
PHI,C. Martin
PHI,J. Embiid
PHI,J. Butler
PHI,A. Bona
PHX,M. Plumlee
PHX,D. Booker
PHX,M. Morris
PHX,O. Ighodaro
PHX,K. Durant
PHX,C. Gillespie
PHX,R. O'Neale
PHX,G. Allen
PHX,T. Jones
PHX,R. Dunn
POR,D. Avdija
POR,D. Clingan
POR,D. Banton
POR,T. Camara
POR,A. Simons
POR,S. Sharpe
POR,J. Walker
POR,S. Henderson
POR,K. Murray
POR,D. Ayton
SAC,D. DeRozan
SAC,M. Monk
SAC,D. Sabonis
SAC,K. Ellis
SAC,K. Murray
SAC,D. Carter
SAC,D. Fox
SAC,T. Lyles
SAC,J. Valančiūnas
SAS,C. Paul
SAS,V. Wembanyama
SAS,H. Barnes
SAS,J. Champagnie
SAS,S. Mamukelashvili
SAS,T. Jones
SAS,S. Castle
SAS,J. Sochan
SAS,M. Branham
SAS,K. Johnson
TOR,C. Boucher
TOR,S. Barnes
TOR,J. Poeltl
TOR,R. Barrett
TOR,I. Quickley
TOR,J. Walter
TOR,G. Dick
TOR,D. Mitchell
TOR,J. Shead
TOR,J. Battle
UTA,J. Collins
UTA,C. Sexton
UTA,W. Kessler
UTA,S. Mykhailiuk
UTA,I. Collier
UTA,M. Potter
UTA,B. Sensabaugh
UTA,L. Markkanen
UTA,K. George
UTA,K. Filipowski
WAS,K. Middleton
WAS,K. George
WAS,R. Holmes
WAS,C. Kispert
WAS,M. Brogdon
WAS,J. Poole
WAS,J. Valančiūnas
WAS,J. Champagnie
WAS,B. Coulibaly
WAS,B. Carrington
WAS,A. Sarr
